Ciudad de Mexico,Acapulco,Campeche,Cancun,Chichen Itza,Chihuahua,Cozumel,Cuernavaca,Guadalajara,Hermosillo,Isla Mujeres,Ixtapa Zihuatanejo,La Paz,Los Cabos,Merida,Monterrey,Morelia,Nuevo Vallarta,Oaxaca de Juarez,Playa del Carmen,Puebla,Puerto Vallarta,Queretaro,San Luis Potosi,San Miguel de Allende,Taxco,Tequila,Tlaxcala,Tuxtla Gutierrez,Villahermosa,Zacatecas
6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
7,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0
16,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0
11,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
17,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0
27,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0
24,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0
13,0,0,5,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0
18,0,0,5,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,3,0,0,0,0,0,0,0,0,1,0
26,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,0,0,0,0,0,3,0
27,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,1,0,0,2,0,0,0,3,0
28,0,0,3,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0
25,0,0,3,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,7,0
31,1,0,3,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,6,0
43,1,1,5,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,3,5,0,0,0,0,0,0,0,0,5,0
44,0,0,8,0,2,1,3,0,0,0,0,3,0,2,0,0,0,0,1,6,0,0,0,0,1,0,0,0,3,0
54,1,0,8,0,3,0,3,0,0,0,0,0,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,4,0
43,1,1,4,0,1,1,1,0,0,0,0,2,0,1,1,0,0,0,1,2,2,0,0,0,1,0,0,0,6,0
62,0,0,7,0,0,0,3,0,0,0,0,1,0,2,1,0,0,3,1,2,1,0,0,0,0,0,0,1,8,0
67,0,2,13,0,2,2,1,2,0,0,0,3,0,0,1,0,0,0,1,8,0,0,0,0,0,0,0,0,5,0
84,1,2,9,0,1,0,5,0,1,0,0,4,1,1,0,0,0,0,1,2,0,1,0,0,0,0,0,0,5,0
85,1,0,7,0,3,0,3,0,0,1,0,2,1,2,0,1,0,0,4,2,0,0,1,0,0,0,1,0,5,0
74,3,0,13,0,3,0,3,1,1,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,0
73,1,0,9,0,0,1,1,0,1,0,0,2,0,0,2,0,0,0,0,6,1,0,0,0,0,0,0,0,7,0
117,1,0,10,0,3,0,7,0,0,0,0,4,0,2,0,0,0,0,2,9,0,0,1,0,0,0,0,0,9,0
110,2,0,9,0,1,0,0,2,0,0,0,3,0,0,1,1,0,0,2,2,0,1,0,0,0,0,0,1,5,0
117,0,1,13,0,3,0,9,0,0,0,0,6,0,2,0,0,0,0,1,4,0,1,0,0,1,0,0,1,7,0
83,3,0,4,0,2,0,3,3,0,0,0,1,0,2,1,0,0,0,0,0,0,1,0,0,1,0,2,1,10,1
108,1,0,7,0,1,0,3,0,0,0,0,3,0,2,1,0,1,0,1,6,1,2,0,0,0,0,0,0,9,0
111,1,0,2,0,4,0,7,1,1,0,0,3,0,2,1,0,0,1,2,6,1,2,0,0,0,0,0,0,6,0
120,1,0,6,0,1,0,5,1,0,1,0,5,0,2,1,0,0,0,1,5,1,1,0,0,1,0,0,0,4,0
125,3,0,5,0,2,0,3,3,0,0,0,3,0,2,1,0,0,0,5,1,0,2,0,0,3,0,0,0,9,0
110,2,0,6,0,3,0,7,1,1,0,0,2,0,1,0,1,1,0,1,7,0,0,0,0,2,0,0,0,4,0
121,2,0,4,0,4,0,5,0,0,0,0,4,0,0,0,0,0,2,1,5,0,0,0,0,0,0,0,0,14,0
109,1,0,6,0,2,0,11,1,0,0,0,1,0,1,0,0,0,0,1,2,0,0,1,0,3,0,0,0,9,0
133,2,0,7,0,0,0,4,2,0,0,0,4,0,3,0,1,0,0,1,1,0,2,0,0,1,0,0,3,8,0
125,2,1,6,0,0,0,4,1,1,0,0,3,0,3,0,0,0,1,0,10,1,1,1,0,2,0,0,0,10,0
143,2,0,11,0,3,0,7,4,0,0,0,6,0,3,0,0,0,1,3,9,0,3,0,0,1,0,0,2,5,0
128,5,1,4,0,1,0,6,1,1,0,0,4,0,3,1,1,0,1,2,8,1,1,0,0,0,0,1,1,9,0
152,7,0,9,0,2,0,3,1,1,0,0,1,1,4,0,1,1,0,2,8,1,0,1,0,0,0,0,0,6,0
145,10,0,9,0,2,0,2,3,0,0,0,4,0,0,2,0,0,2,0,9,0,3,1,0,0,0,0,0,11,1
149,4,0,5,0,2,0,2,5,1,0,0,5,0,2,1,0,0,0,1,11,0,5,1,0,0,0,2,0,13,0
160,8,0,5,0,1,0,4,3,0,0,0,6,0,1,1,1,0,3,1,8,3,4,1,0,1,0,1,0,8,0
162,14,1,5,0,1,0,4,2,0,1,0,2,1,2,1,0,0,0,2,5,0,1,0,0,1,0,1,1,10,0
140,6,0,6,0,1,0,4,0,1,0,0,1,0,2,0,2,0,3,1,14,0,2,0,0,0,0,0,3,12,1
125,18,1,4,0,0,0,3,1,1,0,0,4,0,9,4,1,0,1,1,12,1,2,1,0,0,0,0,2,9,0
171,8,0,3,0,2,1,5,2,0,0,0,2,0,2,0,1,0,1,1,12,0,6,0,0,1,0,1,1,7,0
131,8,0,3,1,2,1,7,1,1,0,0,3,0,3,0,0,0,1,1,21,0,2,0,0,0,0,1,1,16,0
136,17,0,3,0,0,0,2,3,4,0,0,2,0,5,0,0,0,3,1,16,0,4,0,0,1,0,0,0,8,0
144,22,0,10,0,1,1,3,2,5,0,0,6,0,2,0,0,0,4,1,11,0,1,1,0,1,0,4,2,11,0
142,22,1,6,0,1,0,1,3,5,0,0,6,0,7,3,2,0,5,0,11,2,1,3,0,0,0,1,2,8,0
137,15,0,6,1,2,0,1,0,5,0,0,2,1,6,3,0,0,1,0,12,1,2,2,0,0,0,1,0,7,0
124,20,0,6,0,1,0,1,3,2,0,0,2,1,3,0,0,0,2,1,11,1,3,1,0,1,0,0,7,6,0
137,17,0,5,0,1,1,1,2,3,0,0,2,0,4,2,1,0,3,0,18,0,0,1,0,1,0,2,5,12,0
121,16,0,6,1,1,0,0,2,4,0,0,6,0,4,0,1,0,4,2,15,1,6,1,1,0,0,0,4,10,1
120,11,0,4,0,0,0,0,6,3,0,0,3,0,3,1,0,1,4,2,13,3,1,1,0,1,0,0,6,10,0
138,19,0,5,0,1,1,1,4,3,0,0,9,0,6,2,1,1,5,1,17,2,5,1,0,0,0,2,4,6,0
130,17,0,11,0,2,1,3,7,8,0,0,5,1,8,0,0,0,6,0,22,1,4,2,0,0,0,4,7,12,0
123,20,0,5,0,1,0,0,7,5,0,0,3,0,4,1,0,1,4,0,24,1,3,0,1,0,0,0,8,9,0
127,7,0,4,0,2,0,1,8,6,0,1,4,0,3,1,1,0,3,0,14,2,2,2,0,1,0,1,7,8,0
123,10,1,4,0,5,1,1,11,7,0,0,2,1,4,1,0,1,2,0,17,0,5,4,0,0,0,2,6,9,1
113,17,1,5,0,0,0,3,8,11,0,1,3,1,0,0,2,0,2,2,13,1,3,2,0,0,0,0,8,6,1
124,5,0,7,0,2,1,3,9,3,0,0,1,0,3,3,0,2,7,0,27,2,6,0,0,2,0,0,5,5,0
114,14,1,10,0,0,0,1,14,6,0,1,1,0,3,1,1,0,2,0,17,1,6,2,0,3,0,0,9,6,0
133,18,2,3,0,3,0,3,8,3,0,0,4,0,2,0,0,0,5,1,20,1,2,3,1,0,0,2,9,8,0
110,9,1,4,0,2,1,5,13,10,0,0,1,0,3,2,0,2,8,0,25,1,3,1,0,1,0,0,11,4,0
119,19,1,6,0,2,0,2,8,8,0,1,1,0,6,3,0,2,5,1,26,0,1,1,0,0,0,2,3,8,0
121,14,1,5,0,4,0,1,12,12,0,0,3,2,5,1,1,1,4,1,15,3,4,4,0,0,0,5,4,6,0
128,10,2,6,0,2,0,5,12,12,0,0,4,2,3,1,0,1,7,0,27,2,4,1,0,1,0,1,7,8,1
128,18,2,2,0,0,1,0,4,11,0,1,2,1,3,3,0,0,6,0,30,2,8,1,0,2,0,1,6,6,0
114,16,0,6,0,2,1,1,14,11,0,1,3,2,5,0,1,1,4,0,27,1,3,0,0,0,0,0,4,7,1
85,8,1,5,0,1,0,0,10,17,0,2,1,1,5,3,2,0,3,1,22,0,4,0,0,0,0,1,3,6,1
124,12,2,2,0,1,1,1,8,14,0,0,1,1,2,5,4,0,3,0,25,1,4,3,0,0,0,1,10,11,0
113,12,4,5,0,2,0,2,8,11,0,1,3,0,4,4,3,0,3,1,33,5,4,1,0,1,0,0,4,2,1
100,12,2,4,0,1,1,1,8,17,0,0,2,0,6,1,1,1,3,1,27,2,6,1,0,2,0,1,7,9,0
98,18,2,4,0,2,1,0,12,11,0,2,4,0,1,2,0,2,1,0,14,1,3,1,1,0,0,0,5,5,0
74,7,4,4,0,1,0,0,14,23,0,0,3,0,2,2,2,2,1,1,24,3,5,0,0,0,0,0,9,5,1
98,7,1,6,0,1,2,2,19,10,0,2,2,0,6,3,1,2,5,0,32,1,2,4,0,0,0,0,6,8,0
75,16,4,7,0,1,0,1,12,15,0,0,0,1,3,6,1,2,3,1,35,1,4,2,0,0,0,0,4,7,0
73,10,6,4,0,0,0,1,10,25,0,0,4,0,4,5,2,0,4,0,23,3,4,3,0,1,0,2,5,9,0
60,5,5,3,0,2,1,2,9,22,0,1,2,0,11,4,2,0,1,4,17,3,2,6,1,0,0,1,9,5,0
64,5,2,7,0,2,0,0,16,20,0,1,1,0,6,2,0,0,3,2,18,1,3,3,1,0,0,0,5,7,0
73,9,5,6,0,2,0,2,7,17,0,2,2,0,6,7,1,0,1,1,18,3,4,2,1,1,0,1,6,7,0
89,11,8,4,0,0,0,1,14,19,0,1,3,1,2,5,4,1,3,1,19,0,5,1,0,0,0,3,9,10,0
68,12,4,8,0,1,0,0,11,24,0,2,4,0,3,4,4,0,2,0,21,2,2,4,0,0,0,1,10,7,1
58,4,7,9,0,1,0,3,13,12,0,8,1,0,7,3,2,1,0,0,21,2,4,1,0,1,0,2,7,8,1
72,12,4,8,0,0,0,1,11,13,0,0,1,1,15,7,1,2,3,0,22,2,4,5,0,0,0,3,7,11,1
82,7,4,7,0,0,1,1,15,22,0,1,3,0,9,6,4,2,2,3,22,2,3,2,0,0,0,4,2,4,0
63,7,9,6,0,0,0,1,3,15,0,0,1,2,10,10,3,0,0,1,21,4,6,3,0,0,0,2,4,13,2
67,7,7,8,0,1,0,3,13,18,0,2,3,1,9,5,3,1,3,2,38,2,3,2,0,0,0,0,7,12,1
77,10,2,4,0,1,0,1,18,15,0,3,1,1,6,9,1,0,4,0,30,1,5,1,0,0,0,0,2,7,0
66,3,2,11,0,2,1,0,15,16,0,2,2,0,6,13,2,0,6,3,26,4,3,0,0,0,0,1,9,10,0
80,5,4,6,0,4,1,0,11,20,0,1,0,0,15,12,1,1,1,0,27,3,4,4,1,0,0,0,1,21,1
79,12,8,6,0,4,0,0,13,23,0,1,3,0,7,8,2,2,2,5,26,4,7,4,0,1,0,1,4,17,1
51,5,7,8,0,1,1,2,14,27,0,0,1,0,10,14,1,1,2,1,27,1,7,2,0,0,0,3,4,14,1
66,5,13,14,0,2,1,1,14,23,1,1,2,0,6,13,0,1,3,3,19,3,3,5,0,0,0,0,5,11,1
48,5,10,14,0,4,1,1,9,25,0,1,2,0,11,7,2,1,2,2,23,1,2,4,1,1,1,1,7,16,0
61,3,6,8,0,3,2,1,13,21,0,5,1,0,12,7,3,1,1,1,12,0,0,1,0,2,0,1,8,13,1
71,4,8,10,0,2,0,0,9,22,0,0,1,1,10,8,2,0,5,4,23,2,5,5,1,0,0,2,5,15,0
57,10,7,8,0,4,1,2,12,22,0,1,1,2,11,16,5,1,4,1,28,4,7,4,0,0,0,0,2,11,0
73,11,5,18,0,1,2,0,8,18,0,2,3,2,9,11,3,3,0,0,23,2,2,6,0,2,0,4,8,13,0
73,5,5,11,0,0,1,0,9,20,0,4,1,4,19,16,2,0,4,1,16,4,3,7,0,0,0,3,5,11,1
58,5,8,4,0,3,2,0,9,23,0,0,0,2,15,8,4,0,0,2,27,0,7,7,0,0,0,5,5,12,1
56,8,6,11,0,1,3,0,11,8,0,1,0,1,14,11,5,1,1,1,21,1,5,5,0,0,0,1,6,17,0
65,5,3,7,0,0,3,0,17,14,0,1,0,1,14,14,0,0,0,2,25,4,3,6,2,0,0,1,2,16,1
59,5,9,11,0,3,2,2,10,14,0,1,4,0,9,13,1,1,2,1,31,4,5,7,0,0,0,1,1,18,1
55,9,5,17,1,8,2,1,12,21,0,0,2,0,18,13,2,1,1,2,23,3,4,5,0,0,0,5,6,13,0
56,5,8,13,0,1,0,1,6,23,1,1,0,4,21,17,0,3,4,1,20,5,3,15,0,0,0,0,2,15,1
43,4,4,5,0,3,1,0,7,13,1,2,2,2,24,18,2,0,1,1,29,2,8,9,0,1,0,3,2,13,0
54,7,7,10,0,1,0,1,10,24,1,3,1,3,15,14,1,0,0,3,24,4,4,14,2,0,0,1,2,8,1
46,5,5,10,0,2,0,3,8,13,0,2,1,4,12,16,4,0,1,3,26,7,1,5,0,0,0,3,1,5,2
61,8,4,11,0,0,0,0,14,9,1,2,0,3,14,13,3,0,2,0,30,4,5,14,0,0,0,1,1,16,3
53,8,6,9,0,4,1,1,12,13,0,0,0,5,10,13,4,2,0,0,33,4,6,11,0,1,0,4,3,8,1
53,4,5,10,0,2,2,0,12,15,0,0,1,2,15,16,5,2,2,1,24,2,4,11,0,0,0,1,4,18,1
49,4,4,13,0,2,1,0,13,15,0,0,2,2,26,13,3,3,2,0,26,6,4,16,0,1,0,2,1,8,1
35,2,6,8,0,3,0,0,8,10,0,1,2,4,13,18,3,1,1,3,30,2,3,8,0,1,0,2,3,8,3
60,5,2,9,1,2,1,0,14,11,0,2,2,6,7,11,1,0,2,3,34,1,4,11,1,1,0,1,3,16,0
48,5,5,15,0,2,0,3,7,8,0,1,1,0,13,13,2,2,1,0,18,0,5,15,1,0,0,3,4,10,0
47,4,5,4,0,1,0,1,12,8,0,0,2,4,19,14,9,0,2,1,20,1,6,3,0,0,0,0,2,11,5
55,7,4,11,0,3,2,1,8,6,0,3,2,1,15,19,5,4,3,2,22,1,10,13,1,0,0,2,2,12,2
56,6,8,12,1,3,1,1,5,6,1,2,2,2,16,10,2,1,4,2,24,2,2,14,2,0,0,1,3,12,3
55,9,3,9,1,4,3,1,10,9,0,0,0,1,22,17,1,0,0,4,21,6,2,14,0,2,0,6,2,5,1
61,4,4,9,1,2,0,2,15,8,0,2,3,4,16,18,2,1,4,0,17,3,8,9,0,0,0,1,3,8,2
43,4,4,6,0,2,0,0,14,7,0,1,1,0,15,19,5,1,2,1,22,4,6,8,1,0,0,0,1,11,1
53,7,2,9,1,2,2,2,6,4,1,1,1,2,10,15,2,0,3,1,17,0,3,14,0,0,0,0,0,7,2
64,4,0,11,0,2,0,0,10,9,0,0,1,7,14,13,0,1,0,1,16,3,3,14,0,0,0,4,2,9,4
35,4,3,6,0,7,1,3,5,4,0,1,1,2,10,19,4,2,2,1,17,1,3,13,2,0,0,2,2,9,2
47,3,2,8,1,2,2,4,5,1,0,1,1,1,16,10,4,1,0,4,25,2,9,10,0,1,0,0,0,10,3
42,3,5,14,1,2,2,3,19,13,0,0,2,5,13,19,3,0,1,2,27,2,3,14,0,1,0,4,0,6,1
45,0,4,8,0,1,0,0,11,7,0,1,0,3,10,20,5,0,3,2,26,1,3,15,0,0,0,1,3,9,1
46,4,4,5,0,2,0,1,8,7,0,0,2,3,19,22,2,1,1,0,24,3,4,19,0,0,0,1,1,7,1
45,0,6,5,0,1,3,3,9,8,0,1,0,2,9,7,6,0,2,0,21,1,7,20,0,1,0,1,1,9,0
44,3,6,10,0,3,3,0,10,5,0,0,2,2,14,12,2,0,1,2,21,2,9,10,1,0,0,0,1,6,1
42,6,2,7,0,3,0,2,8,7,0,0,0,4,11,14,6,0,2,0,17,4,5,9,0,1,0,2,1,12,0
45,3,1,7,0,3,1,1,9,7,1,0,0,5,14,11,7,0,1,2,17,3,4,16,0,2,0,0,0,4,1
47,4,1,7,0,1,0,2,7,3,1,0,0,6,8,7,6,1,3,3,12,5,10,5,0,1,0,2,1,5,1
44,6,2,6,0,3,1,1,14,8,1,1,2,1,9,11,4,0,0,2,16,2,9,12,0,2,0,0,1,9,1
50,4,0,8,0,3,0,0,11,4,0,1,0,4,7,14,5,0,3,3,16,3,4,15,0,0,0,1,2,6,0
41,4,0,6,0,4,1,0,7,3,0,1,0,6,17,12,2,0,0,2,13,0,4,13,0,0,1,2,0,5,1
44,4,2,5,1,2,1,1,8,3,0,0,0,0,14,14,5,2,0,0,13,0,11,16,0,0,0,1,1,5,4
51,0,3,10,0,3,1,0,16,2,1,2,0,2,14,12,4,0,4,1,9,2,5,11,0,0,1,1,0,5,3
45,2,1,8,0,1,1,0,11,4,1,1,2,2,7,10,4,0,2,1,18,1,4,24,0,2,0,0,0,7,1
56,5,0,6,0,2,2,5,2,4,0,0,1,5,12,11,2,1,0,1,16,4,10,13,1,0,0,1,1,4,1
44,4,3,7,1,1,1,1,10,3,0,1,2,2,7,11,11,0,2,1,12,1,6,15,0,0,1,2,1,3,2
37,2,0,3,0,5,0,1,9,2,0,0,1,1,16,11,4,0,0,2,14,2,3,9,0,0,0,1,2,4,4
50,2,0,2,0,3,1,4,4,6,0,1,0,1,7,12,3,0,1,0,9,1,2,12,0,0,0,2,0,2,2
52,5,0,5,0,3,1,0,11,1,0,0,2,3,3,11,4,1,4,0,11,4,8,10,0,0,0,0,0,5,2
45,1,2,8,0,1,2,0,7,3,0,0,0,2,12,13,4,2,2,0,9,1,13,8,0,0,0,1,0,6,0
47,0,1,3,0,6,0,1,11,4,0,0,2,7,4,11,3,1,1,3,19,3,7,4,0,0,1,1,0,6,2
61,2,1,2,0,2,0,1,12,1,0,0,0,2,9,11,4,0,3,1,5,2,5,11,0,0,0,3,1,4,1
51,1,0,3,0,1,0,0,8,3,0,0,0,2,13,12,3,0,1,1,10,3,5,14,1,1,0,0,0,3,1
46,4,1,9,0,2,0,2,6,4,0,0,2,3,8,14,3,0,2,2,12,1,5,9,0,0,1,0,1,7,1
51,1,1,4,0,5,0,2,8,5,0,0,0,2,6,9,2,0,0,1,15,2,6,9,0,0,0,0,0,3,3
49,4,1,3,0,1,1,1,6,1,0,0,0,0,5,11,3,0,0,1,17,1,10,7,0,0,0,1,2,0,0
49,1,0,3,0,1,2,0,19,2,1,0,1,1,9,7,6,0,2,0,14,2,4,9,1,0,0,0,0,3,1
45,6,1,7,0,3,0,0,8,3,0,1,1,0,6,7,2,1,1,2,8,2,13,9,0,1,0,0,0,4,2
41,1,1,1,1,0,0,1,18,1,1,0,0,2,6,9,4,2,2,1,17,3,6,15,0,0,0,1,0,3,2
49,5,0,4,0,5,0,2,15,2,0,1,3,3,7,5,6,1,2,0,13,0,6,17,0,0,0,0,0,5,5
49,2,0,4,0,4,0,1,6,1,0,0,2,0,5,12,8,0,0,0,9,2,9,5,0,0,1,1,0,2,3
53,2,1,3,0,2,0,1,7,2,0,0,1,0,4,6,5,0,1,1,13,2,8,6,0,0,0,0,0,3,1
52,4,0,4,0,2,0,1,8,1,1,1,2,2,3,4,6,0,0,1,6,5,5,8,0,1,1,0,1,3,1
47,6,0,3,0,2,2,3,10,4,0,2,2,1,2,5,2,0,3,2,11,0,7,5,1,0,0,2,0,1,1
47,2,1,2,0,1,0,0,14,1,0,0,1,0,4,12,8,1,3,0,11,1,8,5,1,0,0,0,0,2,1
58,6,2,2,0,2,0,1,9,0,1,1,1,1,7,8,4,1,1,0,10,0,3,15,0,0,0,0,0,3,1
39,2,1,4,0,4,0,0,12,1,0,0,0,0,5,10,9,2,4,0,4,1,3,7,0,0,2,0,0,5,2
43,4,2,2,0,4,0,1,14,0,0,0,1,2,2,14,7,0,2,0,13,1,3,5,1,0,0,1,1,1,0
